feature,importance
win_pct_diff,0.4740596707410382
home_avg_pts_diff_all,0.050593717908973
away_prev_season_win_pct,0.04674059901879381
away_avg_pts_diff_all,0.034747135575769715
home_avg_pts_diff_last10,0.03393389190456951
home_prev_season_win_pct,0.033811132522897996
away_avg_pts_diff_last10,0.02965098425774658
home_avg_pts_diff_last20,0.027238193730350285
away_avg_pts_diff_last20,0.023946056127248077
home_avg_pts_diff_last5,0.021475597020456604
away_total_wins,0.019213957374291542
away_prev_season_games,0.016055765010684623
home_total_wins,0.013709310679463477
away_rest_days,0.01354893867363781
away_avg_pts_diff_last5,0.013301895133791423
home_prev_season_games,0.012452139157274585
home_total_win_pct,0.010079033467263073
streak_diff,0.009033202284968369
away_total_win_pct,0.00891532247127243
rest_days_diff,0.007993721429693826
away_games_played,0.007940230792131563
away_current_streak,0.0059576396129828535
home_current_streak,0.0058971933614922695
away_win_pct_last20,0.005855610361871169
home_games_played,0.00582416176506911
home_rest_days,0.005733855048811402
home_win_pct_last20,0.004538561436914661
home_home_wins_last20,0.0036928957062711642
away_home_wins_last20,0.003549753355389876
away_games_played_x_last10_exists,0.0034670426222572393
away_away_wins_last20,0.0033944217388304906
home_games_played_x_last20_exists,0.0032862161986291815
away_home_wins_last5,0.0031350462221237385
away_away_wins_last10,0.002956050861021873
away_home_wins_last10,0.0028369654930656494
home_win_pct_last10,0.0026483755433021026
home_win_pct_last5,0.002466328607007257
away_games_played_x_last20_exists,0.0023596647152690953
away_away_wins_last5,0.002338334224501737
home_away_wins_last5,0.002275029335672012
home_games_played_x_last10_exists,0.0022361805339496093
away_win_pct_last5,0.00217210264747886
away_win_pct_last10,0.0021343946776258838
home_home_wins_last5,0.00212800918913848
home_away_wins_last20,0.0020612800846474613
home_away_wins_last10,0.0019650560833010416
home_home_wins_last10,0.0018273912905050543
away_last20_is_carryover,0.0012362728220806176
home_last10_is_carryover,0.0009574901829916921
home_last20_is_carryover,0.0006109378235462843
away_last10_is_carryover,0.0005136063204111411
away_is_expansion_team,0.0004792379194407689
home_last5_exists,0.00033580490296725125
home_last10_exists,0.0003203320983542667
home_last5_is_carryover,0.0001845732452622326
away_last5_is_carryover,0.00010854010976458848
home_is_expansion_team,7.047740425277973e-05
away_last5_exists,3.853980554042342e-06
away_last20_exists,6.44308100116055e-07
has_prev_season_data,9.811478095599403e-08
is_playoff,7.476804748845297e-08
is_first_season,0.0
home_away_wins_20,0.0
home_win_pct_5,0.0
home_avg_pts_diff_5,0.0
home_home_wins_5,0.0
home_away_wins_5,0.0
home_win_pct_10,0.0
home_avg_pts_diff_10,0.0
home_home_wins_10,0.0
home_away_wins_10,0.0
home_win_pct_20,0.0
home_avg_pts_diff_20,0.0
home_home_wins_20,0.0
home_last20_exists,0.0
away_last10_exists,0.0
away_win_pct_5,0.0
away_avg_pts_diff_5,0.0
away_home_wins_5,0.0
away_away_wins_5,0.0
away_win_pct_10,0.0
away_avg_pts_diff_10,0.0
away_home_wins_10,0.0
away_away_wins_10,0.0
away_win_pct_20,0.0
away_avg_pts_diff_20,0.0
away_home_wins_20,0.0
away_away_wins_20,0.0
