feature,importance
win_pct_diff,0.17154485
home_last10_is_carryover,0.10206186
away_last10_is_carryover,0.057495832
home_avg_pts_diff_all,0.02879646
away_avg_pts_diff_all,0.023944646
away_prev_season_win_pct,0.01776389
away_rest_days,0.015926046
away_total_win_pct,0.01582079
home_last5_is_carryover,0.015783882
away_is_expansion_team,0.015563211
home_prev_season_win_pct,0.015215938
away_total_wins,0.015161804
home_avg_pts_diff_last10,0.015121226
away_avg_pts_diff_last20,0.014888189
home_avg_pts_diff_last20,0.014706647
home_games_played_x_last10_exists,0.014268835
away_avg_pts_diff_last10,0.013370099
home_total_wins,0.013347262
is_first_season,0.013212855
home_prev_season_games,0.0131049035
away_games_played,0.012905153
rest_days_diff,0.012758464
home_games_played,0.012664526
home_rest_days,0.012157461
away_prev_season_games,0.01208651
home_avg_pts_diff_last5,0.012045834
home_home_wins_last10,0.011922633
home_total_win_pct,0.011756785
away_away_wins_last10,0.011716351
home_away_wins_last5,0.011273087
away_games_played_x_last10_exists,0.0111591
away_away_wins_last20,0.011119032
has_prev_season_data,0.011101834
away_avg_pts_diff_last5,0.010891828
home_win_pct_last5,0.01083759
home_win_pct_last10,0.010826908
away_games_played_x_last20_exists,0.010810338
away_win_pct_last20,0.010727715
home_home_wins_last20,0.01067632
away_win_pct_last10,0.010335806
away_home_wins_last5,0.010314252
home_home_wins_last5,0.010239437
home_games_played_x_last20_exists,0.010091475
home_last5_exists,0.010019028
home_away_wins_last20,0.009951407
home_current_streak,0.009920073
home_win_pct_last20,0.009870539
away_current_streak,0.009828817
home_away_wins_last10,0.009782341
streak_diff,0.009765786
away_win_pct_last5,0.00972713
away_home_wins_last10,0.009501046
away_last20_exists,0.009468253
away_home_wins_last20,0.009000606
away_away_wins_last5,0.008817274
home_is_expansion_team,0.008453746
is_playoff,0.008376332
home_last20_is_carryover,0.0
away_last5_is_carryover,0.0
away_away_wins_20,0.0
away_last10_exists,0.0
away_last5_exists,0.0
home_win_pct_5,0.0
home_avg_pts_diff_5,0.0
home_home_wins_5,0.0
home_away_wins_5,0.0
home_win_pct_10,0.0
home_avg_pts_diff_10,0.0
home_home_wins_10,0.0
home_away_wins_10,0.0
home_win_pct_20,0.0
home_avg_pts_diff_20,0.0
home_home_wins_20,0.0
home_away_wins_20,0.0
home_last10_exists,0.0
home_last20_exists,0.0
away_win_pct_5,0.0
away_avg_pts_diff_5,0.0
away_home_wins_5,0.0
away_away_wins_5,0.0
away_win_pct_10,0.0
away_avg_pts_diff_10,0.0
away_home_wins_10,0.0
away_away_wins_10,0.0
away_win_pct_20,0.0
away_avg_pts_diff_20,0.0
away_home_wins_20,0.0
away_last20_is_carryover,0.0
